country,iso2,iso3,group,component,source,series_id,source_adjustment,adjustment_method,date,real_value
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1974-01-01,75140
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1974-04-01,75631
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1974-07-01,77054
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1974-10-01,76547
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1975-01-01,78264
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1975-04-01,78932
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1975-07-01,78359
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1975-10-01,76834
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1976-01-01,78218
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1976-04-01,79777
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1976-07-01,81647
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1976-10-01,82531
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1977-01-01,82404
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1977-04-01,83229
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1977-07-01,83410
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1977-10-01,83474
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1978-01-01,83762
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1978-04-01,85634
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1978-07-01,85440
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1978-10-01,84561
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1979-01-01,85473
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1979-04-01,85859
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1979-07-01,85983
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1979-10-01,86340
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1980-01-01,87415
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1980-04-01,87709
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1980-07-01,88389
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1980-10-01,89236
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1981-01-01,89682
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1981-04-01,91460
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1981-07-01,93638
