country,iso2,group,component,observations,cycle_sd,cycle_mean_abs,persistence_ar1,skewness,kurtosis,mean_yoy_growth,sd_yoy_growth,comparison_observations,relative_volatility_to_gdp,corr_with_domestic_gdp,corr_with_indonesia,correlation_observations
New Zealand,NZ,Asia-Pacific,GDP,154,1.6654493237115977,1.144756533564893,0.4516028999485395,-2.462030060666426,17.3262283620265,2.6389254510233435,2.673935183502352,154,1,1,0.32649819301846805,154
New Zealand,NZ,Asia-Pacific,Investment,152,5.6860956160606335,4.276763290710603,0.678372680174577,-0.6439450857597966,4.279871893409928,3.361876414976971,8.418795249239952,152,3.4124587256640555,0.7502009295065639,0.13518932440151565,101
Philippines,PH,ASEAN,Consumption,99,2.386180370693746,1.449070759899985,0.6880630344606904,-1.350107112744912,9.783778826812616,4.585068577742718,3.454297593885795,99,0.9353528992978265,0.9178434695164697,0.8429352692526166,99
Philippines,PH,ASEAN,GDP,156,2.3697419164891835,1.571873364308614,0.7381517539442274,-1.0372848109671136,9.828304190169609,4.287113673329014,3.4821688485436333,156,1,1,0.4900424690299613,156
Philippines,PH,ASEAN,Investment,99,7.820298843956755,5.487593679633888,0.6490398935957614,-1.373510969996011,9.615784026726859,5.84260182318969,11.91365812197735,99,3.06545946270765,0.8703818150174676,0.41100437513683463,99
Singapore,SG,ASEAN,Consumption,200,3.2917745127644324,2.0635634703119816,0.5504299227603235,-3.0972813742376895,25.763852825362918,4.857314633904718,4.900579248919348,152,1.3642811962994241,0.5828653118669941,0.7182203619578128,100
Singapore,SG,ASEAN,GDP,156,2.5924155191178784,1.8087839031319703,0.6963642444582303,-1.4262329897772759,8.384549179286132,5.537652140913151,4.46100735851491,156,1,0.9999999999999999,0.38159623417907507,156
Singapore,SG,ASEAN,Investment,199,6.882852277660665,4.967396571278039,0.6281574257427357,-0.6227232656918884,5.898930593752294,5.6779100830668,10.974163888372718,151,2.3364701931226537,0.5505894310880572,0.4102403843818485,100
South Korea,KR,Asia-Pacific,Consumption,202,2.621580005589377,1.7096355268508237,0.7781307457487805,-0.9952811696832535,7.961753445963404,4.833482328721945,4.486384740981774,202,1.171445991389359,0.7562507183615358,0.324168030113396,101
South Korea,KR,Asia-Pacific,GDP,202,2.23790087196434,1.5248213674922027,0.8003175050014125,-0.1834637771116371,5.926951465484586,5.885120945688592,4.269011436756021,202,1,1,0.6180378428398782,154
South Korea,KR,Asia-Pacific,Investment,202,6.510294074874051,4.3753928308280186,0.7475999828286666,-0.16450442207961444,7.026327692349932,6.576068833160367,10.23088661541441,202,2.9091074392225313,0.7623726994190064,-0.21982827646282388,101
Thailand,TH,ASEAN,Consumption,90,1.9995058040621037,1.478288258901769,0.6093655908519672,-0.6138274140413159,4.201625149948086,3.1410613031933057,3.052213048868886,90,0.9016180224538005,0.7289299931327662,0.5407325462365754,89
Thailand,TH,ASEAN,GDP,132,2.817053721461235,2.0039430013810584,0.7397996966677991,-0.3988991075317277,4.774075349620542,3.053500949540203,4.131253014123194,132,1,1,0.7020133642467933,132
Thailand,TH,ASEAN,Investment,90,4.5084165264588725,3.2931356619210566,0.6790534422094435,-0.8728824234665443,5.143315536707845,3.019077210262101,7.076824540610943,90,2.0329371311280418,0.5501316803689199,0.45321237167085177,89
United States,US,Comparator,Consumption,202,1.347343432687833,0.9233413870174737,0.6954616078402812,-2.9220829296775848,23.92118803202014,2.917184948564223,2.1031640476089226,202,0.9448334473554983,0.876914668286518,0.3244922484762949,101
United States,US,Comparator,GDP,202,1.426011575329941,0.9948038134865408,0.7388106161470895,-1.6058407130877448,10.58584614039921,2.740887159739961,2.1625966011287714,202,1,1,0.02953019343306946,154
United States,US,Comparator,Investment,202,3.45425043086543,2.5412670702321307,0.892896395247858,-0.6200948178099863,3.8581251059734276,3.477625199224959,4.937630723910343,202,2.4223158427491787,0.8739698717016012,0.3718474766631013,101
Vietnam,VN,ASEAN,GDP,141,1.2308731931651267,0.8373015411316634,0.5123735725563947,-2.2222635918931886,20.277323411689068,6.445541212360276,1.923569203110277,141,1,0.9999999999999999,0.3495123000718768,141
